timeStamp,value,clone
1578441600,3.7713,4.2713
1578528000,3.7846,4.2846
1578614400,3.7742,4.2742
1578700800,3.7758,4.2758
1578787200,3.8396,4.3396
1578873600,2.5821,3.0821
1578960000,3.7133,4.2133
1579046400,3.8858,4.3858
1579132800,1.9217,2.4217
1579219200,3.5,4
1579305600,3.8058,4.3058
1579392000,3.7967,4.2967
1579478400,3.78,4.28
1579564800,3.7596,4.2596
1579651200,3.7338,4.2338
1579737600,3.7125,4.2125
1579824000,3.6946,4.1946
1579910400,3.6758,4.1758
1579996800,3.6521,4.1521
1580083200,3.6367,4.1367
1580169600,3.64,4.14
1580256000,2.4267,2.9267
1580342400,1.2133,1.7133
1580428800,0,0.5
1580515200,0.3651,0.8651
1580601600,0.7302,1.2302
1580688000,1.0954,1.5954
1580774400,1.4605,1.9605
1580860800,1.8256,2.3256
1580947200,2.1907,2.6907
1581033600,2.5559,3.0559
1581120000,2.921,3.421
1581206400,3.2861,3.7861
1581292800,3.6512,4.1512
1581379200,4.0164,4.5164
1581465600,4.4496,4.9496
1581552000,4.5158,5.0158
1581638400,4.5342,5.0342
1581724800,4.515,5.015
1581811200,4.5042,5.0042
1581897600,4.4838,4.9838
1581984000,4.4633,4.9633
1582070400,4.4621,4.9621
1582156800,4.4662,4.9662
1582243200,4.4771,4.9771
1582329600,4.4813,4.9813
1582416000,4.4713,4.9713
1582502400,4.4888,4.9888
1582588800,4.6417,5.1417
1582675200,4.8229,5.3229
1582761600,4.905,5.405
1582848000,4.9613,5.4613
1582934400,4.9617,5.4617
1583020800,4.925,5.425
1583107200,4.895,5.395
1583193600,4.8775,5.3775
1583280000,4.905,5.405
1583366400,4.9346,5.4346
1583452800,4.95,5.45
1583539200,4.9488,5.4488
1583625600,4.9246,5.4246
1583712000,4.8608,5.3608
1583798400,4.8017,5.3017
1583884800,4.7717,5.2717
1583971200,4.8258,5.3258
1584057600,5.0175,5.5175
1584144000,5.1375,5.6375
1584230400,5.1608,5.6608
1584316800,5.0908,5.5908
1584403200,5.0262,5.5262
1584489600,4.9036,5.4036
1584576000,4.8387,5.3387
1584662400,4.7629,5.2629
1584748800,4.6929,5.1929
1584835200,4.6133,5.1133
1584921600,4.5796,5.0796
1585008000,4.5604,5.0604
1585094400,4.5158,5.0158
1585180800,4.4504,4.9504
1585267200,4.4004,4.9004
1585353600,4.3654,4.8654
1585440000,4.3325,4.8325
1585526400,4.2892,4.7892
1585612800,4.2554,4.7554
1585699200,4.2258,4.7258
1585785600,4.2013,4.7013
1585872000,3.8137,4.3137
1585958400,3.095,3.595
1586044800,4.0942,4.5942
1586131200,4.0529,4.5529
1586217600,3.8521,4.3521
1586304000,3.9992,4.4992
1586390400,3.9867,4.4867
1586476800,3.9867,4.4867
1586563200,3.9904,4.4904
1586649600,3.9667,4.4667
1586736000,3.9571,4.4571
1586822400,3.9362,4.4362
1586908800,3.9238,4.4238
1586995200,3.9148,4.4148
1587081600,3.9042,4.4042
1587168000,3.8729,4.3729
1587254400,3.8438,4.3438
1587340800,3.8517,4.3517
1587427200,3.8483,4.3483
1587513600,3.8446,4.3446
1587600000,3.8138,4.3138
1587686400,3.7979,4.2979
1587772800,3.7608,4.2608
1587859200,3.7375,4.2375
1587945600,3.73,4.23
1588032000,3.7279,4.2279
1588118400,3.7162,4.2162
1588204800,3.71,4.21
1588291200,3.7642,4.2642
1588377600,3.7538,4.2538
1588464000,3.7642,4.2642
1588550400,3.7512,4.2512
1588636800,3.74,4.24
1588723200,3.7333,4.2333
1588809600,3.7275,4.2275
1588896000,3.7179,4.2179
1588982400,3.6921,4.1921
1589068800,3.6508,4.1508
1589155200,3.6271,4.1271
1589241600,3.6808,4.1808
1589328000,3.8042,4.3042
1589414400,3.8446,4.3446
1589500800,3.8254,4.3254
1589587200,3.7892,4.2892
1589673600,3.7583,4.2583
1589760000,3.7404,4.2404
1589846400,3.7246,4.2246
1589932800,3.6954,4.1954
1590019200,3.6617,4.1617
1590105600,3.6071,4.1071
1590192000,3.5925,4.0925
1590278400,3.6488,4.1488
1590364800,3.6717,4.1717
1590451200,3.6992,4.1992
1590537600,3.6879,4.1879
1590624000,3.71,4.21
1590710400,3.7092,4.2092
1590796800,3.6763,4.1763
1590883200,3.6663,4.1663
1590969600,3.6542,4.1542
1591056000,3.6058,4.1058
1591142400,3.6,4.1
1591228800,3.5975,4.0975
1591315200,3.6117,4.1117
1591401600,3.6962,4.1962
1591488000,3.7096,4.2096
1591574400,3.7162,4.2162
1591660800,3.7521,4.2521
1591747200,3.8942,4.3942
1591833600,3.9729,4.4729
1591920000,3.9471,4.4471
1592006400,3.9767,4.4767
1592092800,4.0192,4.5192
1592179200,4.0596,4.5596
1592265600,4.2787,4.7787
1592352000,4.3329,4.8329
1592438400,4.3729,4.8729
1592524800,4.4596,4.9596
1592611200,4.5921,5.0921
1592697600,4.7958,5.2958
1592784000,5.0487,5.5487
1592870400,5.2321,5.7321
1592956800,5.325,5.825
1593043200,5.2575,5.7575
1593129600,5.1262,5.6262
1593216000,5.015,5.515
1593302400,4.9104,5.4104
1593388800,4.8233,5.3233
1593475200,4.8425,5.3425
1593561600,5.0796,5.5796
1593648000,5.2492,5.7492
1593734400,5.2625,5.7625
1593820800,5.1521,5.6521
1593907200,5.0708,5.5708
1593993600,4.9538,5.4538
1594080000,4.7721,5.2721
1594166400,4.5862,5.0862
1594252800,4.4296,4.9296
1594339200,4.35,4.85
1594425600,4.2933,4.7933
1594512000,4.2029,4.7029
1594598400,4.0938,4.5938
1594684800,4.0404,4.5404
1594771200,4.0079,4.5079
1594857600,4.0183,4.5183
1594944000,4.0092,4.5092
1595030400,3.9996,4.4996
1595116800,3.9929,4.4929
1595203200,4.02,4.52
1595289600,4.01,4.51
1595376000,4.0767,4.5767
1595462400,4.0967,4.5967
1595548800,4.0792,4.5792
1595635200,4.0546,4.5546
1595721600,4.0371,4.5371
1595808000,3.955,4.455
1595894400,3.9125,4.4125
1595980800,3.8933,4.3933
1596067200,3.8788,4.3788
1596153600,3.8225,4.3225
1596240000,3.7621,4.2621
1596326400,3.7062,4.2062
1596412800,3.7112,4.2112
1596499200,3.8396,4.3396
1596585600,4.0104,4.5104
1596672000,4.1908,4.6908
1596758400,4.3133,4.8133
1596844800,4.3392,4.8392
1596931200,4.2587,4.7587
1597017600,4.1729,4.6729
1597104000,4.1258,4.6258
1597190400,4.1412,4.6412
1597276800,4.1254,4.6254
1597363200,4.0908,4.5908
1597449600,4.0517,4.5517
1597536000,4.0079,4.5079
1597622400,3.9946,4.4946
1597708800,3.9492,4.4492
1597795200,3.965,4.465
1597881600,4.0383,4.5383
1597968000,4.0579,4.5579
1598054400,4.0375,4.5375
1598140800,3.9458,4.4458
1598227200,3.8221,4.3221
1598313600,3.7942,4.2942
1598400000,3.8129,4.3129
1598486400,3.83,4.33
1598572800,3.8183,4.3183
1598659200,3.7275,4.2275
1598745600,3.7325,4.2325
1598832000,3.7608,4.2608
1598918400,3.8792,4.3792
1599004800,3.9875,4.4875
1599091200,4.055,4.555
1599177600,4.1533,4.6533
1599264000,3.975,4.475
1599350400,4.075,4.575
1599436800,3.9975,4.4975
1599523200,4.0088,4.5088
1599609600,4.0325,4.5325
1599696000,3.9896,4.4896
1599782400,3.9383,4.4383
1599868800,3.8996,4.3996
1599955200,3.8458,4.3458
1600041600,3.8254,4.3254
1600128000,3.8354,4.3354
1600214400,3.8775,4.3775
1600300800,3.8683,4.3683
1600387200,3.8083,4.3083
1600473600,3.7512,4.2512
1600560000,3.7254,4.2254
1600646400,3.6983,4.1983
1600732800,3.685,4.185
1600819200,3.6796,4.1796
1600905600,3.6462,4.1462
1600992000,3.635,4.135
1601078400,3.6829,4.1829
1601164800,3.9108,4.4108
1601251200,4.0296,4.5296
1601337600,4.0767,4.5767
1601424000,4.1046,4.6046
1601510400,4.2154,4.7154
1601596800,4.3663,4.8663
1601683200,4.3792,4.8792
1601769600,4.3021,4.8021
1601856000,4.2267,4.7267
1601942400,4.2175,4.7175
1602028800,4.2158,4.7158
1602115200,4.2471,4.7471
1602201600,4.2608,4.7608
1602288000,4.1975,4.6975
1602374400,4.2012,4.7012
1602460800,4.1779,4.6779
1602547200,4.1987,4.6987
1602633600,4.3158,4.8158
1602720000,4.5908,5.0908
1602806400,4.9088,5.4088
1602892800,5.0621,5.5621
1602979200,5.105,5.605
1603065600,5.0654,5.5654
1603152000,5.0275,5.5275
1603238400,4.9829,5.4829
1603324800,4.9317,5.4317
1603411200,4.8829,5.3829
1603497600,4.8554,5.3554
1603584000,4.8125,5.3125
1603670400,4.7346,5.2346
1603756800,4.6883,5.1883
1603843200,4.685,5.185
1603929600,4.69,5.19
1604016000,4.705,5.205
1604102400,4.7454,5.2454
1604188800,4.4325,4.9325
1604275200,4.0417,4.5417
1604361600,4.875,5.375
1604448000,5,5.5
1604534400,5,5.5
1604620800,5,5.5
1604707200,5,5.5
1604793600,5,5.5
1604880000,5.1221,5.6221
1604966400,5.2425,5.7425
1605052800,5.2308,5.7308
1605139200,5.2038,5.7038
1605225600,5.145,5.645
1605312000,5.0733,5.5733
1605398400,4.9904,5.4904
1605484800,4.8938,5.3938
1605571200,4.8092,5.3092
1605657600,4.7558,5.2558
1605744000,4.6983,5.1983
1605830400,4.6112,5.1112
1605916800,4.5312,5.0312
1606003200,4.4362,4.9362
1606089600,4.3091,4.8091
1606176000,4.2667,4.7667
1606262400,4.2242,4.7242
1606348800,4.1888,4.6888
1606435200,4.1613,4.6613
1606521600,4.135,4.635
1606608000,4.1196,4.6196
1606694400,4.12,4.62
1606780800,4.1125,4.6125
1606867200,4.09,4.59
1606953600,4.0792,4.5792
1607040000,4.0871,4.5871
1607126400,4.0404,4.5404
1607212800,4.0225,4.5225
1607299200,4.0038,4.5038
1607385600,3.9992,4.4992
1607472000,3.9929,4.4929
1607558400,3.9696,4.4696
1607644800,3.9654,4.4654
1607731200,3.97,4.47
1607817600,3.9538,4.4538
1607904000,3.9325,4.4325
1607990400,3.9508,4.4508
1608076800,3.9958,4.4958
1608163200,3.9838,4.4838
1608249600,3.9771,4.4771
1608336000,3.9921,4.4921
1608422400,3.99,4.49
1608508800,3.9983,4.4983
1608595200,4.0213,4.5213
1608681600,4.1025,4.6025
1608768000,4.1496,4.6496
1608854400,4.1121,4.6121
1608940800,4.1442,4.6442
1609027200,4.18,4.68
1609113600,4.1604,4.6604
1609200000,4.1354,4.6354
1609286400,4.1771,4.6771
