170.71,170.71,166.9,163.08,159.25,155.42,151.59,147.78,143.99,140.22,136.46,132.73,129.02,125.33,121.67,118.03,114.42,110.83,107.25,103.69,100.14,96.6,93.08,89.57,86.07,82.57,79.08,75.6,72.12,68.64,65.17,61.7,58.22,54.75,51.29,47.83,44.37,40.91,37.46,34.01,30.57,27.13,23.7,20.28,16.87,13.47,10.09,6.72,3.36,0
170.71,170.71,166.96,163.21,159.43,155.64,151.85,148.06,144.29,140.53,136.79,133.07,129.37,125.69,122.03,118.4,114.79,111.2,107.63,104.06,100.52,96.98,93.46,89.95,86.45,82.95,79.46,75.98,72.5,69.02,65.54,62.07,58.59,55.12,51.65,48.19,44.72,41.25,37.79,34.32,30.86,27.41,23.96,20.51,17.08,13.64,10.22,6.81,3.4,0
170.71,170.71,167.04,163.35,159.62,155.87,152.11,148.34,144.59,140.84,137.12,133.4,129.71,126.04,122.38,118.76,115.15,111.56,107.99,104.43,100.88,97.35,93.84,90.33,86.82,83.33,79.84,76.35,72.87,69.39,65.91,62.44,58.96,55.48,52.01,48.54,45.06,41.59,38.11,34.63,31.16,27.68,24.21,20.74,17.27,13.81,10.35,6.9,3.45,0
170.71,170.71,167.13,163.51,159.84,156.12,152.38,148.63,144.89,141.16,137.44,133.73,130.04,126.37,122.73,119.1,115.5,111.92,108.35,104.79,101.25,97.72,94.2,90.69,87.19,83.69,80.2,76.72,73.24,69.76,66.28,62.8,59.32,55.84,52.36,48.88,45.4,41.92,38.43,34.94,31.45,27.95,24.46,20.96,17.47,13.97,10.48,6.98,3.49,0
170.71,170.71,167.25,163.72,160.09,156.41,152.68,148.94,145.2,141.47,137.75,134.05,130.37,126.7,123.06,119.44,115.84,112.26,108.69,105.14,101.6,98.07,94.56,91.05,87.55,84.05,80.56,77.08,73.6,70.12,66.64,63.16,59.67,56.19,52.71,49.23,45.74,42.24,38.75,35.24,31.73,28.22,24.7,21.18,17.65,14.13,10.6,7.07,3.53,0
170.71,170.71,167.45,164.01,160.41,156.73,153,149.25,145.51,141.78,138.07,134.37,130.69,127.03,123.39,119.77,116.18,112.6,109.03,105.48,101.94,98.42,94.9,91.4,87.9,84.41,80.92,77.44,73.96,70.48,67,63.52,60.03,56.55,53.06,49.57,46.08,42.57,39.06,35.55,32.02,28.49,24.95,21.4,17.84,14.28,10.71,7.15,3.57,0
170.71,170.71,167.81,164.44,160.82,157.1,153.34,149.58,145.83,142.09,138.38,134.68,131,127.34,123.71,120.09,116.5,112.93,109.36,105.81,102.28,98.76,95.25,91.75,88.25,84.76,81.27,77.79,74.31,70.83,67.35,63.87,60.39,56.9,53.41,49.92,46.42,42.9,39.38,35.85,32.31,28.76,25.2,21.62,18.03,14.44,10.84,7.23,3.62,0
9999,170.71,168.62,165.1,161.33,157.51,153.7,149.91,146.14,142.4,138.68,134.99,131.31,127.65,124.02,120.41,116.82,113.25,109.69,106.14,102.61,99.09,95.58,92.08,88.59,85.1,81.62,78.14,74.66,71.19,67.71,64.23,60.74,57.26,53.77,50.27,46.76,43.24,39.71,36.17,32.61,29.04,25.45,21.85,18.23,14.6,10.96,7.31,3.66,0
9999,170.71,170.71,166,161.87,157.92,154.05,150.23,146.45,142.7,138.98,135.28,131.61,127.95,124.32,120.71,117.13,113.56,110,106.46,102.93,99.41,95.91,92.42,88.93,85.44,81.96,78.48,75.01,71.54,68.06,64.58,61.1,57.61,54.12,50.62,47.11,43.58,40.04,36.49,32.92,29.33,25.72,22.09,18.44,14.77,11.09,7.4,3.7,0
9999,170.71,170.71,166.38,162.25,158.27,154.37,150.53,146.75,142.99,139.27,135.57,131.9,128.25,124.62,121.01,117.43,113.86,110.31,106.77,103.24,99.73,96.23,92.74,89.26,85.77,82.3,78.83,75.36,71.89,68.41,64.94,61.46,57.98,54.48,50.98,47.47,43.94,40.39,36.82,33.24,29.63,25.99,22.34,18.66,14.95,11.23,7.5,3.75,0
9999,170.71,170.71,166.57,162.51,158.54,154.65,150.81,147.02,143.27,139.55,135.85,132.18,128.53,124.91,121.3,117.72,114.16,110.61,107.07,103.55,100.05,96.55,93.06,89.58,86.1,82.63,79.17,75.7,72.24,68.77,65.3,61.82,58.34,54.85,51.35,47.84,44.3,40.75,37.17,33.57,29.94,26.29,22.61,18.89,15.15,11.38,7.6,3.8,0
9999,170.71,170.71,166.68,162.7,158.76,154.88,151.06,147.27,143.53,139.81,136.12,132.45,128.81,125.18,121.58,118,114.44,110.9,107.37,103.85,100.35,96.86,93.38,89.9,86.43,82.96,79.5,76.04,72.58,69.12,65.66,62.19,58.72,55.23,51.73,48.22,44.68,41.12,37.54,33.93,30.28,26.61,22.9,19.15,15.37,11.55,7.72,3.86,0
9999,170.71,170.71,166.76,162.84,158.94,155.09,151.28,147.51,143.77,140.06,136.38,132.71,129.07,125.45,121.85,118.28,114.72,111.18,107.66,104.15,100.65,97.17,93.69,90.22,86.75,83.29,79.84,76.39,72.93,69.48,66.03,62.57,59.1,55.62,52.12,48.61,45.08,41.52,37.93,34.31,30.65,26.96,23.22,19.44,15.61,11.75,7.85,3.93,0
9999,170.71,170.71,166.82,162.95,159.1,155.27,151.48,147.73,144,140.3,136.62,132.97,129.33,125.71,122.12,118.54,114.99,111.46,107.94,104.43,100.94,97.46,93.99,90.53,87.07,83.62,80.17,76.72,73.28,69.84,66.4,62.94,59.48,56.01,52.53,49.02,45.49,41.94,38.35,34.72,31.06,27.34,23.58,19.76,15.89,11.97,8.01,4.01,0
9999,170.71,170.71,166.87,163.04,159.23,155.44,151.67,147.94,144.22,140.53,136.86,133.21,129.58,125.97,122.38,118.81,115.26,111.73,108.21,104.71,101.23,97.76,94.29,90.83,87.38,83.94,80.5,77.07,73.64,70.21,66.77,63.33,59.88,56.42,52.95,49.45,45.93,42.38,38.8,35.17,31.5,27.77,23.99,20.13,16.21,12.23,8.19,4.11,0
9999,170.71,170.71,166.92,163.13,159.36,155.6,151.85,148.13,144.43,140.75,137.09,133.45,129.82,126.22,122.63,119.07,115.53,112,108.48,104.99,101.51,98.04,94.58,91.13,87.69,84.26,80.83,77.41,73.99,70.57,67.15,63.72,60.29,56.84,53.38,49.9,46.4,42.86,39.29,35.67,31.99,28.26,24.45,20.57,16.59,12.54,8.41,4.22,0
9999,170.71,170.71,166.96,163.22,159.48,155.75,152.03,148.33,144.64,140.97,137.32,133.68,130.06,126.46,122.88,119.32,115.78,112.26,108.75,105.26,101.78,98.32,94.87,91.43,87.99,84.57,81.16,77.75,74.35,70.94,67.53,64.12,60.7,57.27,53.83,50.37,46.89,43.37,39.81,36.21,32.54,28.81,24.99,21.07,17.05,12.92,8.69,4.37,0
9999,170.71,170.71,167.01,163.31,159.6,155.9,152.21,148.52,144.85,141.19,137.54,133.91,130.29,126.69,123.11,119.56,116.03,112.52,109.02,105.52,102.05,98.6,95.15,91.72,88.3,84.89,81.49,78.09,74.7,71.31,67.92,64.52,61.13,57.72,54.3,50.86,47.4,43.91,40.38,36.8,33.16,29.43,25.61,21.67,17.61,13.4,9.04,4.56,0
9999,170.71,170.71,167.06,163.41,159.74,156.06,152.39,148.72,145.05,141.4,137.76,134.13,130.52,126.92,123.35,119.8,116.28,112.77,109.27,105.78,102.31,98.86,95.43,92.01,88.6,85.2,81.81,78.43,75.05,71.68,68.3,64.93,61.56,58.18,54.79,51.38,47.95,44.5,41,37.45,33.84,30.14,26.33,22.4,18.3,14.01,9.51,4.82,0
9999,170.71,170.71,167.12,163.52,159.89,156.24,152.58,148.92,145.26,141.62,137.98,134.35,130.74,127.15,123.57,120.03,116.51,113.01,109.51,106.03,102.57,99.13,95.7,92.29,88.89,85.5,82.12,78.75,75.4,72.04,68.69,65.34,61.99,58.64,55.29,51.92,48.53,45.12,41.67,38.17,34.6,30.95,27.18,23.26,19.16,14.8,10.15,5.19,0
9999,170.71,170.71,167.2,163.65,160.07,156.44,152.79,149.14,145.48,141.83,138.19,134.57,130.96,127.36,123.79,120.26,116.74,113.23,109.75,106.27,102.82,99.39,95.97,92.56,89.17,85.79,82.43,79.08,75.74,72.4,69.08,65.75,62.44,59.12,55.8,52.47,49.13,45.77,42.38,38.94,35.44,31.86,28.16,24.31,20.24,15.86,11.08,5.78,0
9999,9999,170.71,167.31,163.84,160.28,156.67,153.02,149.36,145.7,142.05,138.41,134.78,131.17,127.57,124.01,120.47,116.95,113.45,109.97,106.5,103.06,99.63,96.22,92.82,89.44,86.08,82.73,79.39,76.07,72.76,69.46,66.16,62.88,59.6,56.32,53.04,49.75,46.45,43.13,39.77,36.36,32.88,29.29,25.55,21.59,17.3,12.47,6.8,0
